id,college,team
306,Wake Forest University,DAL
307,Duke University,BOS
308,Duke University,PHI
309,Duke University,TOT
310,Duke University,MIL
311,Duke University,SAC
312,Duke University,POR
313,Duke University,POR
314,Duke University,TOT
315,Duke University,BOS
316,Michigan State University,TOR
317,Michigan State University,BRK
318,Michigan State University,BRK
319,Michigan State University,TOR
320,Michigan State University,CHA
321,Michigan State University,WAS
322,Michigan State University,LAC
323,Michigan State University,CHA
324,University of Michigan,LAL
325,University of Michigan,DET
326,Indiana University,ATL
327,Indiana University,ATL
328,Indiana University,DAL
329,Indiana University,PHI
330,Indiana University,ATL
331,Indiana University,ATL
332,Indiana University,ATL
333,Indiana University,ATL
334,Indiana University,CLE
335,Indiana University,ATL
336,Indiana University,ATL
337,Indiana University,ATL
338,University of Alabama at Birmingham,MIA
339,University of Alabama at Birmingham,WSB
340,University of Alabama at Birmingham,MIL
341,University of Alabama at Birmingham,MIA
342,University of Alabama at Birmingham,TOT
343,"University of California, Los Angeles",WSC
344,"University of California, Santa Barbara",PHO
345,"University of California, Santa Barbara",PHO
346,University of Wisconsin,MIN
347,University of Wisconsin,TOT
348,University of Wisconsin,PHO
349,University of Wisconsin,PHO
350,University of Wisconsin,PHO
351,University of Maryland,NJN
352,University of Maryland,NJN
353,University of Maryland,SAS
354,University of Maryland,NJN
355,University of Maryland,WSB
356,University of Maryland,PHI
357,University of Maryland,NJN
358,University of Maryland,NJN
359,University of Maryland,NJN
360,University of Colorado,UTA
361,University of Colorado,UTA
362,University of Colorado,UTA
363,University of Colorado,UTA
364,University of Colorado,UTA
365,University of Colorado,UTA
366,University of Georgia,MIA
367,University of Georgia,MIA
368,University of Georgia,MIA
369,University of Georgia,MIA
370,Barton County Community College,UTA
371,Barton County Community College,TOR
372,Pepperdine University,DET
373,Pepperdine University,DET
374,Pepperdine University,TOT
375,Pepperdine University,LAC
376,Monmouth University,LAL
377,Villanova University,NYK
378,University of Kentucky,INO
379,University of Kentucky,INO
380,University of New Mexico,CLE
381,University of Maryland,PHO
382,University of Maryland,PHO
383,University of Maryland,PHO
384,University of Maryland,PHO
385,University of Kentucky,PHI
386,University of Oregon,SAS
387,University of Southern California,MEM
388,University of Southern California,LAC
389,University of Southern California,TOT
390,University of Colorado,TOT
391,University of Colorado,PHO
392,University of Colorado,MIL
393,University of Colorado,ATL
394,University of Colorado,LAC
395,University of Colorado,SEA
396,Florida State University,MIA
397,Florida State University,MEM
398,Loyola University of Chicago,SAS
399,Virginia Polytechnic Institute and State University,SAS
400,Virginia Polytechnic Institute and State University,PHI
401,Virginia Polytechnic Institute and State University,DAL
402,Virginia Polytechnic Institute and State University,PHI
403,Virginia Polytechnic Institute and State University,UTA
404,Virginia Polytechnic Institute and State University,DAL
405,Virginia Polytechnic Institute and State University,UTA
406,Virginia Polytechnic Institute and State University,SAS
407,Virginia Polytechnic Institute and State University,SAS
408,University of Tennessee,DET
409,University of Tennessee,NYK
410,University of Tennessee,NYK
411,University of Tennessee,DET
412,University of Tennessee,NYK
413,University of Tennessee,NYK
414,University of Tennessee,NYK
415,University of Tennessee,DET
416,University of Tennessee,NYK
417,University of Tennessee,NYK
418,University of Tennessee,NYK
419,University of Tennessee,NYK
420,Villanova University,BOS
421,University of California,POR
422,University of California,POR
423,University of California,POR
424,University of California,POR
425,Oklahoma City University,HOU
426,Oklahoma City University,HOU
427,Oklahoma City University,HOU
428,Oklahoma City University,HOU
429,Oklahoma City University,HOU
430,Oklahoma City University,HOU
431,Oklahoma City University,HOU
432,Oklahoma City University,HOU
433,Oklahoma City University,HOU
434,Oklahoma City University,HOU
435,University of Louisville,LAL
436,Marquette University,NYK
437,Texas Southern University,HOU
438,Texas Southern University,HOU
439,Texas Southern University,HOU
440,University of Alabama,WAS
441,University of Alabama,POR
442,University of Alabama,DEN
443,University of Alabama,TOT
444,University of Alabama,CLE
445,University of Alabama,CLE
446,University of Alabama,TOT
447,University of Alabama,SAS
448,University of Alabama,CLE
449,University of Alabama,WAS
450,University of Alabama,DEN
451,University of Alabama,NOP
452,University of Alabama,CLE
453,Mississippi Valley State University,SEA
454,Mississippi Valley State University,PHI
455,University of Houston,PHO
456,University of Houston,HOU
457,University of Houston,PHO
458,Arizona State University,SEA
459,Arizona State University,MIL
460,Arizona State University,GSW
461,Arizona State University,MIL
462,Arizona State University,TOT
463,Arizona State University,SEA
464,Arizona State University,SEA
465,Arizona State University,MIL
466,Arizona State University,BOS
467,Arizona State University,BOS
468,Arizona State University,MIL
469,Arizona State University,GSW
470,Arizona State University,GSW
471,Arizona State University,MIL
472,Arizona State University,POR
473,Arizona State University,GSW
474,Arizona State University,MIL
475,Arizona State University,MIL
476,University of Oklahoma,PHO
477,University of Oklahoma,PHO
478,University of Oklahoma,PHO
479,University of Oklahoma,PHO
480,University of Oklahoma,PHO
481,University of Oklahoma,PHO
482,University of Oklahoma,PHO
483,University of Oklahoma,PHO
484,University of Oklahoma,PHO
485,University of Oklahoma,PHO
486,University of Oklahoma,PHO
487,University of Oklahoma,PHO
488,University of Oklahoma,PHO
489,University of Texas at Austin,HOU
490,Georgia Institute of Technology,PHI
491,University of Arkansas,TOR
492,University of Arkansas,SAS
493,University of Arkansas,MIL
494,University of Arkansas,MIL
495,University of Arkansas,SAS
496,University of Arkansas,SAS
497,University of Arkansas,TOT
498,University of Arkansas,SAS
499,University of Arkansas,MIL
500,University of Arkansas,SAS
501,University of Arkansas,DET
502,University of Arkansas,MIL
503,Oral Roberts University,PHO
504,Oral Roberts University,PHO
505,Oral Roberts University,PHO
506,Oral Roberts University,PHO
507,Oral Roberts University,PHO
508,Oral Roberts University,PHO
509,Oral Roberts University,PHO
510,Oral Roberts University,PHO
511,University of Louisville,PHO
512,Villanova University,TOR
513,Villanova University,TOR
514,Villanova University,TOR
515,Villanova University,POR
516,Villanova University,LAC
517,Villanova University,TOT
518,Villanova University,TOR
519,Villanova University,TOR
520,Villanova University,TOR
521,Villanova University,TOR
522,Villanova University,TOR
523,Marquette University,PHI
524,Marquette University,ORL
525,Marquette University,SAS
526,Marquette University,ATL
527,Indiana University,MIN
528,Indiana University,MIN
529,Seton Hall University,TOT
530,Seton Hall University,LAC
531,Seton Hall University,HOU
532,Seton Hall University,CHI
533,Seton Hall University,ORL
534,Seton Hall University,TOT
535,Seton Hall University,PHO
536,Seton Hall University,TOR
537,DePaul University,SEA
538,DePaul University,CHA
539,DePaul University,MEM
540,Duke University,MIA
541,University of Connecticut,DET
542,University of Connecticut,DET
543,University of Connecticut,DET
544,University of Connecticut,DET
545,University of Connecticut,DET
546,Texas Tech University,MEM
547,Texas Tech University,NJN
548,University of Arizona,PHI
549,University of Arizona,PHI
550,University of Arizona,PHI
551,University of Arizona,PHI
552,University of Arizona,PHI
553,University of Arizona,GSW
554,University of Arizona,GSW
555,University of Arizona,GSW
556,University of Arizona,GSW
557,University of Arizona,PHI
558,University of Arizona,DEN
559,University of Arizona,PHI
560,University of Arizona,PHI
561,"University of California, Los Angeles",KCK
562,"University of California, Los Angeles",KCK
563,"University of California, Los Angeles",WSB
564,University of Utah,TOT
565,University of Utah,CLE
566,University of Utah,SAC
567,University of Utah,WAS
568,University of Utah,TOT
569,University of Utah,DEN
570,University of Utah,DEN
571,University of Utah,POR
572,University of Utah,PHI
573,University of Utah,SAS
574,University of Utah,DEN
575,University of Utah,CLE
576,University of Utah,POR
577,University of Utah,DEN
578,University of Utah,PHI
579,University of Utah,CLE
580,University of Utah,PHI
581,University of Utah,TOT
582,University of Utah,LAC
583,University of Utah,DEN
584,University of Utah,DEN
585,University of Utah,DEN
586,University of Utah,TOT
587,University of Utah,MIN
588,University of Utah,WAS
589,Loyola University of Chicago,MIL
590,Loyola University of Chicago,TOT
591,Loyola University of Chicago,DEN
592,University of Houston,UTA
593,University of Houston,IND
594,University of Colorado,OKC
595,University of Colorado,OKC
596,University of Colorado,OKC
597,University of Colorado,OKC
598,Northern Arizona University,SAC
599,Northern Arizona University,GSW
600,Northern Arizona University,GSW
601,Northern Arizona University,TOT
602,Northern Arizona University,ATL
603,Northern Arizona University,TOT
604,University of Memphis,WSB
605,University of Memphis,MIL
606,University of Memphis,PHI
607,University of Memphis,HOU
608,University of Memphis,TOT
609,University of Memphis,CHH
610,University of Memphis,LAC
611,University of Memphis,BOS
612,Loyola University of Chicago,DET
613,Loyola University of Chicago,CHI
614,Loyola University of Chicago,UTA
615,Loyola University of Chicago,TOT
616,University of Utah,GSW
617,University of Utah,GSW
618,University of Utah,MIL
619,University of Utah,MIL
620,University of Utah,MIL
621,University of Utah,GSW
622,University of Utah,GSW
623,University of Utah,MIL
624,University of Utah,MIL
625,University of Utah,MIL
626,University of Utah,DAL
627,University of Utah,CLE
628,University of Utah,MIL
629,University of Utah,TOT
630,University of Florida,CLE
